stop_id,latitude,longitude
123000689,37.5189440000,127.0847780000
104000315,37.5286945000,127.0664722000
103000517,37.5387500000,127.0180556000
122000752,37.5268056000,127.0163611000
118000622,37.5290000000,126.9346389000
113000513,37.5545000000,126.8946111000
115000952,37.5751389000,126.8441111000
103000519,37.5377576735,127.0411829013
100000001,37.5698055407,126.9877522923
100000002,37.5794329320,126.9965206101
100000003,37.5825800121,126.9982508372
100000004,37.5685792736,126.9876130976
100000005,37.5862430000,127.0017440000
101000305,37.5661370000,126.9668930000
100000380,37.5691350000,126.9703800000
100000379,37.5695119837,126.9707589959
100000384,37.5701416811,126.9763534416
100000385,37.5702396638,126.9778802991
100000386,37.5701482455,126.9810660928
100000387,37.5702710116,126.9816283242
100000388,37.5701723774,126.9849902588
100000389,37.5702378859,126.9865353674
100000390,37.5702088889,126.9893256464
100000391,37.5703605443,126.9899877751
100000392,37.5705069968,126.9947218896
100000393,37.5706350020,126.9953957390
100000394,37.5707860047,126.9990604685
100000395,37.5709301670,126.9996038113
100000396,37.5710111729,127.0044627880
100000397,37.5711272339,127.0057137364
100000398,37.5724475360,127.0138159480
100000365,37.5721524474,127.0124191046
100000366,37.5738321574,127.0186102731
100000367,37.5742464626,127.0195527812
100000006,37.5875502159,126.9693634554
100000007,37.5832955233,126.9702626865
100000008,37.5871907861,126.9697701102
100000009,37.5851600316,126.9708802468
100000010,37.5878105790,126.9726741314
100000011,37.5921866176,126.9671261805
100000012,37.5923353152,126.9671906625
100000013,37.5884219586,126.9722631304
100000014,37.5850633028,126.9714039185
100000015,37.5803257033,126.9710500404
100000016,37.5805132118,126.9713851083
100000017,37.5830910430,126.9706209712
100000018,37.5751355316,126.9679907155
100000019,37.5761614873,126.9714158133
100000020,37.5770401440,126.9721994292
100000021,37.5776713863,126.9722828893
100000022,37.5755767894,126.9787471496
100000023,37.5723209262,126.9774162769
100000415,37.5789303855,126.9739817664
100000025,37.5700448348,126.9764072400
100000028,37.5700230000,126.9712480000
100000029,37.5703368912,126.9728386477
100000030,37.5703650000,126.9758370000
100000031,37.5736489318,126.9769975778
100000032,37.5757446636,126.9714842989
100000033,37.5748553458,126.9681889610
100000034,37.5695035518,126.9768637419
100000035,37.5757693863,126.9819722460
100000036,37.5760695565,126.9839957858
100000037,37.6046629766,126.9608880061
100000038,37.6025022799,126.9612198463
100000039,37.6004770909,126.9582921267
100000040,37.5994133537,126.9585702250
100000041,37.5981330665,126.9617068235
100000042,37.5955935123,126.9636434993
100000043,37.5927670827,126.9642221989
100000044,37.5927861733,126.9651419211
100000045,37.5955575712,126.9639775924
100000046,37.5981476478,126.9622153080
100000047,37.5996163318,126.9592405649
100000048,37.6006470965,126.9591557980
100000049,37.6022680671,126.9614328894
100000051,37.6048461618,126.9611926889
100000053,37.6115844138,126.9563059978
100000054,37.6100355035,126.9564575503
100000055,37.6086098941,126.9562103294
100000056,37.6083054034,126.9564166508
100000057,37.6069644475,126.9585297928
100000058,37.6070088003,126.9591017479
100000059,37.6114800000,126.9564820000
100000060,37.6043709709,126.9635350292
100000061,37.6053223656,126.9660432906
100000062,37.6066073749,126.9695663093
100000063,37.6088723554,126.9729237379
100000064,37.6103897208,126.9763156152
100000065,37.6102480000,126.9766520000
100000066,37.6081900000,126.9727970000
100000067,37.6065170000,126.9700000000
100000068,37.6057787606,126.9676276108
100000069,37.6045038178,126.9648102665
100000376,37.5681459270,126.9686004828
100000072,37.5733950000,126.9593220000
100000073,37.5680590000,126.9647050000
100000368,37.5671081521,126.9675878497
100000075,37.5713430165,126.9614303112
100000076,37.5775405746,126.9885394479
100000077,37.5692639006,126.9800947893
100000078,37.5686843890,126.9849267193
100000079,37.5684453156,126.9908172161
100000080,37.5689254028,126.9965617399
100000081,37.5694512793,126.9997973605
100000102,37.5745325055,126.9973383362
100000103,37.5772726542,126.9889538872
100000104,37.5757989790,126.9841344381
100000105,37.5725223095,126.9831555803
100000106,37.5724858087,126.9828258888
100000107,37.5746105669,126.9827201116
100000108,37.5745000000,127.0022300000
100000109,37.5728790133,127.0021442279
100000414,37.5774327721,126.9912349770
100000116,37.5705596025,127.0021826522
100000117,37.5698351103,127.0028494203
100000118,37.5717262368,127.0084126252
100000119,37.5740223509,127.0062788120
100000121,37.5744602778,127.0063433807
100000122,37.5759104142,127.0008065808
100000123,37.5780430000,127.0024370000
100000124,37.5811194873,127.0022769364
100000125,37.5809559696,127.0018481852
100000126,37.5777889737,127.0019782952
100000127,37.5761193550,127.0006951494
100000128,37.5788279947,126.9968717143
100000129,37.5759372914,127.0032708172
100000130,37.5855803307,127.0006878052
100000131,37.5834170764,126.9993412723
100000132,37.5840306853,127.0014608831
100000133,37.5845329425,127.0015561579
100000135,37.5740926792,127.0155555279
100000139,37.5716849566,127.0156014431
100000140,37.5719221488,127.0159450485
101000307,37.5684809008,126.9878778705
100000142,37.5784130000,127.0151780000
100000143,37.5786281555,127.0154557816
100000144,37.5741800523,127.0158023517
100000147,37.5756947252,127.0228414296
100000364,37.5736431148,127.0175234975
100000150,37.6096820000,126.9566220000
100000151,37.5694963125,126.9977437946
100000153,37.5725807445,126.9974787875
100000154,37.5699003386,126.9721318077
100000155,37.5686887917,126.9937793705
100000156,37.5699303868,127.0080377075
100000157,37.5700419608,127.0130967122
100000158,37.5708949889,127.0181256262
100000159,37.5757617378,126.9981123217
100000165,37.5742721533,127.0204373408
100000169,37.5728003380,126.9831609226
100000174,37.5733655664,126.9770167126
100000179,37.5762570000,127.0029550000
100000180,37.6014170000,126.9551430000
100000181,37.6127234824,126.9559729686
100000419,37.5767095050,126.9743023448
100000188,37.5994435122,126.9597921957
100000189,37.5995718125,126.9581941404
100000190,37.5724174899,127.0065911394
100000191,37.5742548131,127.0231950517
100000192,37.5683454305,126.9869890809
100000193,37.5721307298,127.0227870051
100000355,37.6111800895,126.9787981475
100000370,37.5763329308,126.9855365486
100000369,37.5764140065,126.9848871214
100000371,37.5772280879,126.9890031166
100000413,37.5713191723,126.9874286375
100900047,37.6056812180,126.9668167021
100900178,37.5882276807,126.9816468946
100900041,37.5820813834,126.9644678921
100900040,37.5909483783,126.9928636796
100900197,37.5877854691,126.9967901477
100900044,37.5663370645,126.9663939394
100900039,37.5804037213,127.0087215681
100900037,37.5814109836,126.9893670844
100900036,37.6048011982,126.9648837454
100900035,37.5866398268,126.9816582681
100900034,37.5809967425,126.9666034780
100900032,37.5903095275,126.9932227051
100900031,37.5890715947,126.9972902593
100900029,37.6049806084,126.9652007897
100900188,37.5673466781,126.9654449300
100900202,37.5893663808,126.9895693660
100900026,37.5829872180,126.9890634276
100900025,37.6042522792,126.9614907597
100900024,37.5842638281,126.9819071619
100900020,37.5804417494,126.9684956941
100900021,37.5897914226,126.9936043615
100900017,37.5897456349,126.9988619666
